Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Jamal Adams,S,LSU,1,6,https://www.sports-reference.com/cfb/players/jamal-adams-1.html,72,214,4.56,18.0,31.5,120.0,6.96,4.13,SEC,36,3,128,81,209,18.0,2.0,5,30,0,14,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Montravius Adams,DT,Auburn,3,93,https://www.sports-reference.com/cfb/players/montravius-adams-1.html,76,304,4.87,22.0,29.0,108.0,7.62,4.89,SEC,49,4,77,70,147,19.5,10.5,2,43,0,3,3,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Rodney Adams,WR,South Florida,5,170,https://www.sports-reference.com/cfb/players/rodney-adams-1.html,73,189,4.44,8.0,29.5,125.0,6.98,4.28,MAC,38,4,,,,,,,,,,,,,,,,,,,,,134,1961,14.6,16,39,370,9.5,7,173,2331,13.5,23,,,,,,,,,,,,,,,,,,2017
Quincy Adeboyejo,WR,Mississippi,0,0,https://www.sports-reference.com/cfb/players/quincy-adeboyejo-1.html,75,197,4.42,8.0,34.5,123.0,6.73,4.14,SEC,38,4,,,,,,,,,,,,,,,,,,,,,106,1454,13.7,11,1,-1,-1.0,0,107,1453,13.6,11,,,,,,,,,,,,,,,,,,2017
Brian Allen,CB,Utah,5,173,https://www.sports-reference.com/cfb/players/brian-allen-6.html,75,215,4.48,15.0,34.5,117.0,6.64,4.34,Pac-12,26,3,44,18,62,4.5,1.0,5,0,0,9,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Jonathan Allen,DT,Alabama,1,17,https://www.sports-reference.com/cfb/players/jonathan-allen-1.html,75,286,5.0,21.0,30.0,108.0,7.49,4.5,SEC,50,4,78,74,152,44.5,28.0,0,75,1,6,3,30,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Ryan Anderson,OLB,Alabama,2,49,https://www.sports-reference.com/cfb/players/ryan-anderson-1.html,74,253,4.78,,,,,,SEC,44,4,68,60,128,39.5,19.0,1,26,1,3,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Alex Anzalone,OLB,Florida,3,76,https://www.sports-reference.com/cfb/players/alex-anzalone-1.html,75,241,4.63,16.0,30.5,116.0,6.88,4.25,SEC,18,4,33,42,75,5.0,3.0,0,0,0,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Isaac Asiata,OG,Utah,5,164,https://www.sports-reference.com/cfb/players/isaac-asiata-1.html,75,323,5.34,35.0,25.5,102.0,7.83,4.93,Pac-12,1,1,1,0,1,0.0,0.0,0,0,0,0,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Chidobe Awuzie,CB,Colorado,2,60,https://www.sports-reference.com/cfb/players/chidobe-awuzie-1.html,72,202,4.43,16.0,34.5,132.0,6.81,4.14,Pac-12,48,4,212,53,265,25.0,9.0,3,40,0,25,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
